"","Immigration_status","mean_math","mean_reading","mean_science","mean_wealth","mean_entertainment","mean_possessions","size"
"1","Native",471.923001444601,475.507902130426,479.584328870388,1.64761868057927,1.90965375268245,1.67615444292687,398296
"2","First-Generation",467.119439811996,467.647703646514,471.606074917845,1.78708120521044,2.02259353999053,1.71959258819337,25257
"3","Second-Generation",474.916140919746,475.710604410237,476.27410645149,1.85905347593583,2.04655608984915,1.7651615737204,26180
