"","books","mean_math","mean_reading","mean_science","mean_wealth","mean_entertainment","mean_possessions","size"
"1","0-10 books ",427.387813611758,431.496945927066,433.460932672271,1.11210375720262,1.67434173573289,0.806730207593338,50676
"2","11-25 books ",457.794236510834,463.226369132057,465.432822844914,1.50772228850633,1.8907298998163,1.31537734598413,52803
"3","26-100 books ",498.515363066504,498.77502858075,503.243425709984,1.83155895217381,1.99128122087048,1.87079005234351,83678
"4","101-200 books ",522.961721426093,522.922843373274,527.961739002227,2.04573741648107,2.01836974387528,2.35785189309577,44900
"5","201-500 books ",549.985988881245,548.020506182012,553.743202617133,2.15652295184119,2.00751486009317,2.5369101807068,33701
"6","More than 500 books",548.482105117036,541.051073969466,551.231356531423,2.2146083864896,2.0344607549932,2.65432238837185,19126
