"","Immigration_status","mean_math","mean_reading","mean_science","mean_wealth","mean_entertainment","mean_possessions","size"
"1","Native",492.577211502095,494.025751978509,498.364385627105,1.74547528234207,1.90965375268245,1.80065741451418,255364
"2","First-Generation",474.031582465066,472.012335297365,477.017639272756,1.63831755797444,2.02259353999053,1.59474601672188,12678
"3","Second-Generation",494.013055841096,490.365370694948,492.481929787234,1.70749160134379,2.04655608984915,1.66593966141888,15181
