"","Parents_education_level","mean_math","mean_reading","mean_science","mean_wealth","mean_entertainment","mean_possessions","n"
"1","None",401.864249536694,407.612525815728,409.488648978873,0.249574530516432,1.03183210093897,0.14531396713615,3408
"2","ISCED 1",425.678277081132,435.055532798492,433.095581612718,0.589775465049578,1.34251271818405,0.53850446611489,12203
"3","ISCED 2",451.555304304242,455.879167540255,456.981078135539,1.20660685584032,1.69220619538853,1.12529764166107,34219
"4","ISCED 3B, C",486.824694716633,482.746568383133,490.126197690589,1.69541887740855,1.98762362468584,1.65297775295541,21486
"5","ISCED 5B",491.441259099005,491.777642901338,496.309961466731,1.81440613448337,1.9993477534765,1.85386375638092,45448
"6","ISCED 5A, 6",520.877964038697,520.019879429799,525.135978457807,2.08954798516793,2.02640292901337,2.25357059659546,93581
